name,birthday,nationality
Leonardo DiCaprio,1974-11-11,United States of America
Scarlett Johansson,1984-11-22,United States of America
Brad Pitt,1963-12-18,United States of America
Angelina Jolie,1975-06-04,United States of America
Tom Hanks,1956-07-09,United States of America
Meryl Streep,1949-06-22,United States of America
Robert De Niro,1943-08-17,United States of America
Morgan Freeman,1937-06-01,United States of America
Natalie Portman,1981-06-09,Israel
Chris Hemsworth,1983-08-11,Australia
Chris Evans,1981-06-13,United States of America
Emma Watson,1990-04-15,United Kingdom
Daniel Radcliffe,1989-07-23,United Kingdom
Jennifer Lawrence,1990-08-15,United States of America
Anne Hathaway,1982-11-12,United States of America
Christian Bale,1974-01-30,United Kingdom
Matt Damon,1970-10-08,United States of America
Julia Roberts,1967-10-28,United States of America
Denzel Washington,1954-12-28,United States of America
Tom Cruise,1962-07-03,United States of America
Keanu Reeves,1964-09-02,Canada
Hugh Jackman,1968-10-12,Australia
Will Smith,1968-09-25,United States of America
Ryan Reynolds,1976-10-23,Canada
Gal Gadot,1985-04-30,Israel
Samuel L. Jackson,1948-12-21,United States of America
Charlize Theron,1975-08-07,South Africa
Johnny Depp,1963-06-09,United States of America
Cillian Murphy,1976-05-25,Ireland
Florence Pugh,1996-01-03,United Kingdom
Zendaya,1996-09-01,United States of America
Margot Robbie,1990-07-02,Australia
Benedict Cumberbatch,1976-07-19,United Kingdom
Robert Pattinson,1986-05-13,United Kingdom
Millie Bobby Brown,2004-02-19,United Kingdom
Timothée Chalamet,1995-12-27,United States of America
Pedro Pascal,1975-04-02,Chile
Oscar Isaac,1979-03-09,Guatemala
Anya Taylor-Joy,1996-04-16,Argentina
Brie Larson,1989-10-01,United States of America
Idris Elba,1972-09-06,United Kingdom
Emma Stone,1988-11-06,United States of America
Andrew Garfield,1983-08-20,United Kingdom
Kate Winslet,1975-10-05,United Kingdom
Eddie Redmayne,1982-01-06,United Kingdom
Jake Gyllenhaal,1980-12-19,United States of America
Emily Blunt,1983-02-23,United Kingdom
Amy Adams,1974-08-20,United States of America
Chris Pratt,1979-06-21,United States of America
Saoirse Ronan,1994-04-12,Ireland
